BrainMaps,cortical area 3a,,second somatosensory area of cerebral cortex,moderate,,macaca mulatta,nif-0000-00093,
BrainMaps,reticular nucleus of thalamus,birnlex_1721,ventral anterior nucleus of thalamus,unknown,birnlex_1232,macaca mulatta,nif-0000-00093,
BrainMaps,reticular nucleus of thalamus,birnlex_1721,ventral posterior inferior nucleus of thalamus,unknown,birnlex_728,macaca mulatta,nif-0000-00093,
ABCD,tegmentum,,nucleus papillioformis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tegmentum,,Striatum mediale,exists,,Birds,nif-0000-00386,PMID:12655512 PMID:7844254
BrainMaps,ventral posterior inferior nucleus of thalamus,birnlex_728,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
ABCD,nucleus lentiformis mesencephali,,Tuberculum olfactorium,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,nucleus lentiformis mesencephali,,nucleus commissurae pallii,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,Nucleus striae terminalis lateralis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,neostriatum mediorostrale/ hyperstriatum,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus preopticus medialis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus preopticus anterior,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus anterior medialis hypothalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus periventricularis hypothalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,isthmus,,Hippocampus,exists,birnlex_721,Birds,nif-0000-00386,PMID:5569153
ABCD,tectum opticum,,nucleus periventricularis magnocellularis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus ventromedialis hypothalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus dorsomedialis hypothalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus inferior hypothalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus mamillaris lateralis,exists,,Birds,nif-0000-00386,PMID:12655512
TemporalLobe.com,Subiculum,birnlex_1305,EC,exists,,Rat,nif-0000-24805,
BrainMaps,AIP,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
ABCD,tectum opticum,,nucleus mamillaris medialis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus dorsomedialis posterior thalami,exists,,Birds,nif-0000-00386,PMID:12655512
BrainMaps,cortical area 3a,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
BrainMaps,cortical area 3b,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
BrainMaps,12L,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
BrainMaps,secondary visual cortex,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
BAMS,Precommissural nucleus,,Medullary reticular nucleus dorsal part,weak,,Rat,nif-0000-00018,PMID:10331578
ABCD,tectum opticum,,nucleus paramedianus internus thalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,substantia grisea centralis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus intracollicularis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,isthmus,,septum,exists,,Birds,nif-0000-00386,PMID:5569153
BrainMaps,46vr,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
ABCD,tectum opticum,,Stratum Griseum Periventriculare,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tectum opticum,,nucleus infundibularis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,pons,,Nucleus septalis medialis,exists,,Birds,nif-0000-00386,PMID:12655512
BAMS,Bed nuclei of the stria terminalis posterior division principal nucleus,birnlex_724,Lateral hypothalamic area,exists,birnlex_4037,Rat,nif-0000-00018,
ABCD,Nidopallium intermedium,,nucleus commissurae pallii,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,Mesopallium,,nucleus preopticus anterior,exists,,Birds,nif-0000-00386,PMID:12655512
BAMS,Precommissural nucleus,,Medullary reticular nucleus ventral part,weak,,Rat,nif-0000-00018,PMID:10331578
BAMS,Bed nuclei of the stria terminalis posterior division principal nucleus,birnlex_724,Medial habenula,exists,birnlex_1431,Rat,nif-0000-00018,
ABCD,dorsal thalamus,,nucleus preopticus medialis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,dorsal ventricular ridge,,nucleus periventricularis hypothalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,cerebellum,birnlex_1489,area dorsalis hypothalami,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,pretectum,,hypothalamus pars lateralis,exists,,Birds,nif-0000-00386,PMID:12655512
ABCD,tegmentum,,Wulst,exists,,Birds,nif-0000-00386,
BAMS,Lateral mammillary nucleus,birnlex_1460,Hippocampal region,exists,,Rat,nif-0000-00018,PMID:107474
ABCD,pretectum,,nucleus premammillaris,exists,,Birds,nif-0000-00386,PMID:12655512
BrainMaps,V3,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
ABCD,pons,,nucleus infundibularis,exists,,Birds,nif-0000-00386,PMID:12655512
BAMS,Posterior hypothalamic nucleus,birnlex_1463,Hippocampal region,exists,,Rat,nif-0000-00018,PMID:107474
BAMS,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,,Lateral septal nucleus rostral (rostroventral) part,exists,birnlex_1321,Rat,nif-0000-00018,PMID:9385454
BrainMaps,5,,second somatosensory area of cerebral cortex,moderate,,macaca mulatta,nif-0000-00093,
BrainMaps,MT,,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
BrainMaps,primary visual cortex,nlx_143552,reticular nucleus of thalamus,unknown,birnlex_1721,macaca mulatta,nif-0000-00093,
